alpha,beta,mach,CLq [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-114.25075910115385
-0.03490658503988659,-0.026179938779914945,0.01,-129.85344857074136
-0.03490658503988659,-0.017453292519943295,0.01,-148.37495888972086
-0.03490658503988659,-0.008726646259971648,0.01,-166.0355939503061
-0.03490658503988659,0.0,0.01,195.47494935905573
-0.03490658503988659,0.008726646259971648,0.01,-166.0355939503061
-0.03490658503988659,0.017453292519943295,0.01,-148.37495888972086
-0.03490658503988659,0.026179938779914945,0.01,-129.85334863165866
-0.03490658503988659,0.03490658503988659,0.01,-114.25075910115385
-0.026179938779914945,-0.03490658503988659,0.01,-97.69411119228127
-0.026179938779914945,-0.026179938779914945,0.01,-115.49091058308862
-0.026179938779914945,-0.017453292519943295,0.01,-136.291980132645
-0.026179938779914945,-0.008726646259971648,0.01,-159.99345544488548
-0.026179938779914945,0.0,0.01,197.81768958145065
-0.026179938779914945,0.008726646259971648,0.01,-159.99345544488548
-0.026179938779914945,0.017453292519943295,0.01,-136.291980132645
-0.026179938779914945,0.026179938779914945,0.01,-115.49081061735612
-0.026179938779914945,0.03490658503988659,0.01,-97.69411119228127
-0.017453292519943295,-0.03490658503988659,0.01,-70.28189409655015
-0.017453292519943295,-0.026179938779914945,0.01,-90.81216676027438
-0.017453292519943295,-0.017453292519943295,0.01,-116.14890726415445
-0.017453292519943295,-0.008726646259971648,0.01,-147.8654759412884
-0.017453292519943295,0.0,0.01,200.3411824195679
-0.017453292519943295,0.008726646259971648,0.01,-147.86537595651888
-0.017453292519943295,0.017453292519943295,0.01,-116.14880727938493
-0.017453292519943295,0.026179938779914945,0.01,-90.81216676027438
-0.017453292519943295,0.03490658503988659,0.01,-70.28189409655015
-0.008726646259971648,-0.03490658503988659,0.01,-29.712968578121092
-0.008726646259971648,-0.026179938779914945,0.01,-45.479068230496964
-0.008726646259971648,-0.017453292519943295,0.01,-71.56957474612578
-0.008726646259971648,-0.008726646259971648,0.01,-116.13817764567283
-0.008726646259971648,0.0,0.01,203.006369845142
-0.008726646259971648,0.008726646259971648,0.01,-116.13807764948051
-0.008726646259971648,0.017453292519943295,0.01,-71.56957474612578
-0.008726646259971648,0.026179938779914945,0.01,-45.479068230496964
-0.008726646259971648,0.03490658503988659,0.01,-29.712868581928785
0.0,-0.03490658503988659,0.01,21.3289
0.0,-0.026179938779914945,0.01,20.7092
0.0,-0.017453292519943295,0.01,20.1086
0.0,-0.008726646259971648,0.01,19.5732
0.0,0.0,0.01,205.7271
0.0,0.008726646259971648,0.01,19.5732
0.0,0.017453292519943295,0.01,20.1086
0.0,0.026179938779914945,0.01,20.7092
0.0,0.03490658503988659,0.01,21.3289
0.008726646259971648,-0.03490658503988659,0.01,72.36904430361558
0.008726646259971648,-0.026179938779914945,0.01,86.89599114093033
0.008726646259971648,-0.017453292519943295,0.01,111.78524339838218
0.008726646259971648,-0.008726646259971648,0.01,155.2829870745198
0.008726646259971648,0.0,0.01,208.21507150619095
0.008726646259971648,0.008726646259971648,0.01,155.2829870745198
0.008726646259971648,0.017453292519943295,0.01,111.78524339838218
0.008726646259971648,0.026179938779914945,0.01,86.89589114473803
0.008726646259971648,0.03490658503988659,0.01,72.36904430361558
0.017453292519943295,-0.03490658503988659,0.01,112.93319710699245
0.017453292519943295,-0.026179938779914945,0.01,132.2242585373399
0.017453292519943295,-0.017453292519943295,0.01,156.35998198979806
0.017453292519943295,-0.008726646259971648,0.01,187.00571378541952
0.017453292519943295,0.0,0.01,210.48963652540527
0.017453292519943295,0.008726646259971648,0.01,187.00581377018904
0.017453292519943295,0.017453292519943295,0.01,156.35998198979806
0.017453292519943295,0.026179938779914945,0.01,132.2242585373399
0.017453292519943295,0.03490658503988659,0.01,112.93319710699245
0.026179938779914945,-0.03490658503988659,0.01,140.3371934638911
0.026179938779914945,-0.026179938779914945,0.01,156.89511753185624
0.026179938779914945,-0.017453292519943295,0.01,176.495398702652
0.026179938779914945,-0.008726646259971648,0.01,199.12634098557615
0.026179938779914945,0.0,0.01,212.46416887833
0.026179938779914945,0.008726646259971648,0.01,199.12644095130864
0.026179938779914945,0.017453292519943295,0.01,176.495398702652
0.026179938779914945,0.026179938779914945,0.01,156.89511753185624
0.026179938779914945,0.03490658503988659,0.01,140.3371934638911
0.03490658503988659,-0.03490658503988659,0.01,156.88257312196902
0.03490658503988659,-0.026179938779914945,0.01,171.2466176005491
0.03490658503988659,-0.017453292519943295,0.01,188.56765965811326
0.03490658503988659,-0.008726646259971648,0.01,205.15804708204374
0.03490658503988659,0.0,0.01,214.03973330084514
0.03490658503988659,0.008726646259971648,0.01,205.15814702112644
0.03490658503988659,0.017453292519943295,0.01,188.56765965811326
0.03490658503988659,0.026179938779914945,0.01,171.2466176005491
0.03490658503988659,0.03490658503988659,0.01,156.88247318288632
-0.03490658503988659,-0.03490658503988659,0.1,-114.17620454545822
-0.03490658503988659,-0.026179938779914945,0.1,-129.81067464334495
-0.03490658503988659,-0.017453292519943295,0.1,-148.372560351736
-0.03490658503988659,-0.008726646259971648,0.1,-166.08266525825871
-0.03490658503988659,0.0,0.1,195.61956121172537
-0.03490658503988659,0.008726646259971648,0.1,-166.08266525825871
-0.03490658503988659,0.017453292519943295,0.1,-148.372560351736
-0.03490658503988659,0.026179938779914945,0.1,-129.81067464334495
-0.03490658503988659,0.03490658503988659,0.1,-114.17620454545822
-0.026179938779914945,-0.03490658503988659,0.1,-97.61593798946818
-0.026179938779914945,-0.026179938779914945,0.1,-115.43912833365489
-0.026179938779914945,-0.017453292519943295,0.1,-136.2795843818153
-0.026179938779914945,-0.008726646259971648,0.1,-160.03524112106948
-0.026179938779914945,0.0,0.1,197.9624399621071
-0.026179938779914945,0.008726646259971648,0.1,-160.03524112106948
-0.026179938779914945,0.017453292519943295,0.1,-136.2795843818153
-0.026179938779914945,0.026179938779914945,0.1,-115.43912833365489
-0.026179938779914945,0.03490658503988659,0.1,-97.61593798946818
-0.017453292519943295,-0.03490658503988659,0.1,-70.20770539756954
-0.017453292519943295,-0.026179938779914945,0.1,-90.75357568533822
-0.017453292519943295,-0.017453292519943295,0.1,-116.11931177237781
