alpha,beta,mach,CDp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,0.042738861814420215
-0.03490658503988659,-0.026179938779914945,0.01,0.04155700203175871
-0.03490658503988659,-0.017453292519943295,0.01,0.04237007675557721
-0.03490658503988659,-0.008726646259971648,0.01,0.04380621264525383
-0.03490658503988659,0.0,0.01,0.044577127138104494
-0.03490658503988659,0.008726646259971648,0.01,0.04388387243186383
-0.03490658503988659,0.017453292519943295,0.01,0.04248873929835595
-0.03490658503988659,0.026179938779914945,0.01,0.04165383866822518
-0.03490658503988659,0.03490658503988659,0.01,0.042738861814420215
-0.026179938779914945,-0.03490658503988659,0.01,0.04165687358994988
-0.026179938779914945,-0.026179938779914945,0.01,0.03568877083952747
-0.026179938779914945,-0.017453292519943295,0.01,0.03155243925265939
-0.026179938779914945,-0.008726646259971648,0.01,0.029022455710838557
-0.026179938779914945,0.0,0.01,0.02810357170333262
-0.026179938779914945,0.008726646259971648,0.01,0.029060850274076264
-0.026179938779914945,0.017453292519943295,0.01,0.03159519369467388
-0.026179938779914945,0.026179938779914945,0.01,0.03568877083952747
-0.026179938779914945,0.03490658503988659,0.01,0.04156005608966857
-0.017453292519943295,-0.03490658503988659,0.01,0.042491251097335925
-0.017453292519943295,-0.026179938779914945,0.01,0.03159584944445905
-0.017453292519943295,-0.017453292519943295,0.01,0.02229898669439437
-0.017453292519943295,-0.008726646259971648,0.01,0.015826333904118806
-0.017453292519943295,0.0,0.01,0.013509907823101167
-0.017453292519943295,0.008726646259971648,0.01,0.015837678001538603
-0.017453292519943295,0.017453292519943295,0.01,0.02229898669439437
-0.017453292519943295,0.026179938779914945,0.01,0.03155310058433666
-0.017453292519943295,0.03490658503988659,0.01,0.04237262629703078
-0.008726646259971648,-0.03490658503988659,0.01,0.04388469678440802
-0.008726646259971648,-0.026179938779914945,0.01,0.029061114570501808
-0.008726646259971648,-0.017453292519943295,0.01,0.01583772550726925
-0.008726646259971648,-0.008726646259971648,0.01,0.006759445705100176
-0.008726646259971648,0.0,0.01,0.003548209333638842
-0.008726646259971648,0.008726646259971648,0.01,0.006759445705100176
-0.008726646259971648,0.017453292519943295,0.01,0.01582638214085474
-0.008726646259971648,0.026179938779914945,0.01,0.029022727184172294
-0.008726646259971648,0.03490658503988659,0.01,0.04380706623573226
0.0,-0.03490658503988659,0.01,0.044577127138104494
0.0,-0.026179938779914945,0.01,0.02810357170333262
0.0,-0.017453292519943295,0.01,0.013509907823101167
