alpha,beta,mach,CQp [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,0.6113808719412673
-0.03490658503988659,-0.026179938779914945,0.01,0.44816573971179463
-0.03490658503988659,-0.017453292519943295,0.01,0.29310518153851794
-0.03490658503988659,-0.008726646259971648,0.01,0.14382319987705428
-0.03490658503988659,0.0,0.01,-0.0031
-0.03490658503988659,0.008726646259971648,0.01,-0.14952273919716258
-0.03490658503988659,0.017453292519943295,0.01,-0.2973037500539136
-0.03490658503988659,0.026179938779914945,0.01,-0.45026392381945785
-0.03490658503988659,0.03490658503988659,0.01,-0.6113808719412673
-0.026179938779914945,-0.03490658503988659,0.01,0.8544667141128307
-0.026179938779914945,-0.026179938779914945,0.01,0.6810991725661691
-0.026179938779914945,-0.017453292519943295,0.01,0.4793223371196681
-0.026179938779914945,-0.008726646259971648,0.01,0.25065627873302976
-0.026179938779914945,0.0,0.01,-0.0015
-0.026179938779914945,0.008726646259971648,0.01,-0.2532560426725554
-0.026179938779914945,0.017453292519943295,0.01,-0.48072180409736825
-0.026179938779914945,0.026179938779914945,0.01,-0.6810991725661691
-0.026179938779914945,0.03490658503988659,0.01,-0.8532693636012821
-0.017453292519943295,-0.03490658503988659,0.01,1.0677675318527349
-0.017453292519943295,-0.026179938779914945,0.01,0.8857764505491917
-0.017453292519943295,-0.017453292519943295,0.01,0.6386080921266686
-0.017453292519943295,-0.008726646259971648,0.01,0.3335745924337268
-0.017453292519943295,0.0,0.01,-0.0005
-0.017453292519943295,0.008726646259971648,0.01,-0.3342745200901584
-0.017453292519943295,0.017453292519943295,0.01,-0.6386080921266686
-0.017453292519943295,0.026179938779914945,0.01,-0.8850773300127466
-0.017453292519943295,0.03490658503988659,0.01,-1.066470881914454
-0.008726646259971648,-0.03490658503988659,0.01,1.2192111566639392
-0.008726646259971648,-0.026179938779914945,0.01,1.0252906101910269
-0.008726646259971648,-0.017453292519943295,0.01,0.7401363199238602
-0.008726646259971648,-0.008726646259971648,0.01,0.38725575896978864
-0.008726646259971648,0.0,0.01,-0.0001
-0.008726646259971648,0.008726646259971648,0.01,-0.38725575896978864
-0.008726646259971648,0.017453292519943295,0.01,-0.7398364722246443
-0.008726646259971648,0.026179938779914945,0.01,-1.02469140972462
-0.008726646259971648,0.03490658503988659,0.01,-1.2184133799469958
0.0,-0.03490658503988659,0.01,1.2765219033514912
0.0,-0.026179938779914945,0.01,1.0732321040937585
0.0,-0.017453292519943295,0.01,0.7739821008205625
0.0,-0.008726646259971648,0.01,0.4065845179178921
0.0,0.0,0.01,0.0
0.0,0.008726646259971648,0.01,-0.4065845179178921
0.0,0.017453292519943295,0.01,-0.7739821008205625
0.0,0.026179938779914945,0.01,-1.0732321040937585
0.0,0.03490658503988659,0.01,-1.2765219033514912
0.008726646259971648,-0.03490658503988659,0.01,1.2184133799469958
0.008726646259971648,-0.026179938779914945,0.01,1.02469140972462
0.008726646259971648,-0.017453292519943295,0.01,0.7398364722246443
0.008726646259971648,-0.008726646259971648,0.01,0.38725575896978864
0.008726646259971648,0.0,0.01,0.0001
0.008726646259971648,0.008726646259971648,0.01,-0.38725575896978864
0.008726646259971648,0.017453292519943295,0.01,-0.7401363199238602
0.008726646259971648,0.026179938779914945,0.01,-1.0252906101910269
0.008726646259971648,0.03490658503988659,0.01,-1.2192111566639392
0.017453292519943295,-0.03490658503988659,0.01,1.066470881914454
0.017453292519943295,-0.026179938779914945,0.01,0.8850773300127466
0.017453292519943295,-0.017453292519943295,0.01,0.6386080921266686
0.017453292519943295,-0.008726646259971648,0.01,0.3342745200901584
0.017453292519943295,0.0,0.01,0.0005
0.017453292519943295,0.008726646259971648,0.01,-0.3335745924337268
0.017453292519943295,0.017453292519943295,0.01,-0.6386080921266686
0.017453292519943295,0.026179938779914945,0.01,-0.8857764505491917
0.017453292519943295,0.03490658503988659,0.01,-1.0677675318527349
0.026179938779914945,-0.03490658503988659,0.01,0.8532693636012821
0.026179938779914945,-0.026179938779914945,0.01,0.6810991725661691
0.026179938779914945,-0.017453292519943295,0.01,0.48072180409736825
0.026179938779914945,-0.008726646259971648,0.01,0.2532560426725554
