alpha,beta,mach,CLr [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-133.70000392485517
-0.03490658503988659,-0.026179938779914945,0.01,-117.10481942495497
-0.03490658503988659,-0.017453292519943295,0.01,-93.66100946565832
-0.03490658503988659,-0.008726646259971648,0.01,-57.061918233061206
-0.03490658503988659,0.0,0.01,-9.282342001353362
-0.03490658503988659,0.008726646259971648,0.01,42.659796963971715
-0.03490658503988659,0.017453292519943295,0.01,84.49309771399865
-0.03490658503988659,0.026179938779914945,0.01,114.00430932321093
-0.03490658503988659,0.03490658503988659,0.01,133.70000392485517
-0.026179938779914945,-0.03490658503988659,0.01,-149.6811904119026
-0.026179938779914945,-0.026179938779914945,0.01,-134.02425749093797
-0.026179938779914945,-0.017453292519943295,0.01,-110.93627187903499
-0.026179938779914945,-0.008726646259971648,0.01,-69.8371603458499
-0.026179938779914945,0.0,0.01,-7.32318966557344
-0.026179938779914945,0.008726646259971648,0.01,59.95804683177896
-0.026179938779914945,0.017453292519943295,0.01,106.55427399500464
-0.026179938779914945,0.026179938779914945,0.01,134.02425749093797
-0.026179938779914945,0.03490658503988659,0.01,149.29622237605454
-0.017453292519943295,-0.03490658503988659,0.01,-166.97456509111734
-0.017453292519943295,-0.026179938779914945,0.01,-155.25135086540865
-0.017453292519943295,-0.017453292519943295,0.01,-134.30594143865548
-0.017453292519943295,-0.008726646259971648,0.01,-92.76716895861368
-0.017453292519943295,0.0,0.01,-5.074227052918686
-0.017453292519943295,0.008726646259971648,0.01,87.5599621622392
-0.017453292519943295,0.017453292519943295,0.01,134.30594143865548
-0.017453292519943295,0.026179938779914945,0.01,153.6277981780137
-0.017453292519943295,0.03490658503988659,0.01,163.51369227910303
-0.008726646259971648,-0.03490658503988659,0.01,-181.25409813653476
-0.008726646259971648,-0.026179938779914945,0.01,-177.1285552305489
-0.008726646259971648,-0.017453292519943295,0.01,-166.23087019680327
-0.008726646259971648,-0.008726646259971648,0.01,-134.52967732705366
