alpha,beta,mach,Cl_q [1/rad]
-0.03490658503988659,-0.03490658503988659,0.01,-0.0
-0.03490658503988659,-0.017453292519943295,0.01,-0.3576
-0.03490658503988659,0.0,0.01,0.0
-0.03490658503988659,0.017453292519943295,0.01,0.3576
-0.03490658503988659,0.03490658503988659,0.01,-0.0
-0.017453292519943295,-0.03490658503988659,0.01,0.3576
-0.017453292519943295,-0.017453292519943295,0.01,-0.0
-0.017453292519943295,0.0,0.01,0.0
-0.017453292519943295,0.017453292519943295,0.01,-0.0
-0.017453292519943295,0.03490658503988659,0.01,-0.3576
0.0,-0.03490658503988659,0.01,0.0
0.0,-0.017453292519943295,0.01,0.0
0.0,0.0,0.01,0.0
0.0,0.017453292519943295,0.01,0.0
0.0,0.03490658503988659,0.01,0.0
0.017453292519943295,-0.03490658503988659,0.01,-0.3576
0.017453292519943295,-0.017453292519943295,0.01,0.0
0.017453292519943295,0.0,0.01,0.0
0.017453292519943295,0.017453292519943295,0.01,-0.0
0.017453292519943295,0.03490658503988659,0.01,0.3576
0.03490658503988659,-0.03490658503988659,0.01,-0.0
0.03490658503988659,-0.017453292519943295,0.01,0.3576
0.03490658503988659,0.0,0.01,0.0
0.03490658503988659,0.017453292519943295,0.01,-0.3576
0.03490658503988659,0.03490658503988659,0.01,-0.0
-0.03490658503988659,-0.03490658503988659,0.1,-0.0
-0.03490658503988659,-0.017453292519943295,0.1,-0.325
-0.03490658503988659,0.0,0.1,0.0
-0.03490658503988659,0.017453292519943295,0.1,0.325
-0.03490658503988659,0.03490658503988659,0.1,-0.0
-0.017453292519943295,-0.03490658503988659,0.1,0.325
-0.017453292519943295,-0.017453292519943295,0.1,-0.0
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.017453292519943295,0.1,-0.0
-0.017453292519943295,0.03490658503988659,0.1,-0.325
0.0,-0.03490658503988659,0.1,-0.0
0.0,-0.017453292519943295,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.017453292519943295,0.1,-0.0
0.0,0.03490658503988659,0.1,-0.0
0.017453292519943295,-0.03490658503988659,0.1,-0.325
0.017453292519943295,-0.017453292519943295,0.1,0.0
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.017453292519943295,0.1,-0.0
0.017453292519943295,0.03490658503988659,0.1,0.325
0.03490658503988659,-0.03490658503988659,0.1,-0.0
0.03490658503988659,-0.017453292519943295,0.1,0.325
0.03490658503988659,0.0,0.1,-0.0
0.03490658503988659,0.017453292519943295,0.1,-0.325
0.03490658503988659,0.03490658503988659,0.1,-0.0
-0.03490658503988659,-0.03490658503988659,0.2,-0.0
-0.03490658503988659,-0.017453292519943295,0.2,-0.2908
-0.03490658503988659,0.0,0.2,-0.0
-0.03490658503988659,0.017453292519943295,0.2,0.2908
-0.03490658503988659,0.03490658503988659,0.2,-0.0
-0.017453292519943295,-0.03490658503988659,0.2,0.2908
-0.017453292519943295,-0.017453292519943295,0.2,-0.0
-0.017453292519943295,0.0,0.2,0.0
-0.017453292519943295,0.017453292519943295,0.2,-0.0
-0.017453292519943295,0.03490658503988659,0.2,-0.2908
0.0,-0.03490658503988659,0.2,0.0
0.0,-0.017453292519943295,0.2,0.0
0.0,0.0,0.2,-0.0
0.0,0.017453292519943295,0.2,0.0
0.0,0.03490658503988659,0.2,-0.0
0.017453292519943295,-0.03490658503988659,0.2,-0.2908
0.017453292519943295,-0.017453292519943295,0.2,-0.0
0.017453292519943295,0.0,0.2,0.0
0.017453292519943295,0.017453292519943295,0.2,-0.0
0.017453292519943295,0.03490658503988659,0.2,0.2908
0.03490658503988659,-0.03490658503988659,0.2,-0.0
0.03490658503988659,-0.017453292519943295,0.2,0.2908
0.03490658503988659,0.0,0.2,-0.0
0.03490658503988659,0.017453292519943295,0.2,-0.2908
0.03490658503988659,0.03490658503988659,0.2,-0.0
-0.03490658503988659,-0.03490658503988659,0.5,-0.0
-0.03490658503988659,-0.017453292519943295,0.5,-0.2176
-0.03490658503988659,0.0,0.5,-0.0
-0.03490658503988659,0.017453292519943295,0.5,0.2176
-0.03490658503988659,0.03490658503988659,0.5,-0.0
-0.017453292519943295,-0.03490658503988659,0.5,0.2176
-0.017453292519943295,-0.017453292519943295,0.5,-0.0
-0.017453292519943295,0.0,0.5,0.0
-0.017453292519943295,0.017453292519943295,0.5,-0.0
-0.017453292519943295,0.03490658503988659,0.5,-0.2176
0.0,-0.03490658503988659,0.5,0.0
0.0,-0.017453292519943295,0.5,-0.0
0.0,0.0,0.5,0.0
0.0,0.017453292519943295,0.5,-0.0
0.0,0.03490658503988659,0.5,-0.0
0.017453292519943295,-0.03490658503988659,0.5,-0.2176
0.017453292519943295,-0.017453292519943295,0.5,-0.0
0.017453292519943295,0.0,0.5,-0.0
0.017453292519943295,0.017453292519943295,0.5,-0.0
0.017453292519943295,0.03490658503988659,0.5,0.2176
0.03490658503988659,-0.03490658503988659,0.5,-0.0
0.03490658503988659,-0.017453292519943295,0.5,0.2176
0.03490658503988659,0.0,0.5,0.0
0.03490658503988659,0.017453292519943295,0.5,-0.2176
0.03490658503988659,0.03490658503988659,0.5,-0.0
-0.03490658503988659,-0.03490658503988659,0.75,-0.0
-0.03490658503988659,-0.017453292519943295,0.75,-0.1529
-0.03490658503988659,0.0,0.75,-0.0
-0.03490658503988659,0.017453292519943295,0.75,0.1529
-0.03490658503988659,0.03490658503988659,0.75,-0.0
-0.017453292519943295,-0.03490658503988659,0.75,0.1529
-0.017453292519943295,-0.017453292519943295,0.75,-0.0
-0.017453292519943295,0.0,0.75,0.0
-0.017453292519943295,0.017453292519943295,0.75,-0.0
-0.017453292519943295,0.03490658503988659,0.75,-0.1529
0.0,-0.03490658503988659,0.75,0.0
0.0,-0.017453292519943295,0.75,-0.0
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,-0.0
0.0,0.03490658503988659,0.75,-0.0
0.017453292519943295,-0.03490658503988659,0.75,-0.1529
0.017453292519943295,-0.017453292519943295,0.75,0.0
0.017453292519943295,0.0,0.75,0.0
0.017453292519943295,0.017453292519943295,0.75,-0.0
0.017453292519943295,0.03490658503988659,0.75,0.1529
