alpha,beta,mach,Cl_0 [-]
-0.017453292519943295,-0.017453292519943295,1,-0.0
-0.017453292519943295,0.0,1,-0.0
-0.017453292519943295,0.017453292519943295,1,-0.0
-0.017453292519943295,0.03490658503988659,1,0.0
0.0,-0.03490658503988659,1,-0.0
0.0,-0.017453292519943295,1,0.0
0.0,0.0,1,0.0
0.0,0.017453292519943295,1,0.0
0.0,0.03490658503988659,1,-0.0
0.017453292519943295,-0.03490658503988659,1,0.0
0.017453292519943295,-0.017453292519943295,1,0.0
0.017453292519943295,0.0,1,0.0
0.017453292519943295,0.017453292519943295,1,-0.0
0.017453292519943295,0.03490658503988659,1,-0.0
0.03490658503988659,-0.03490658503988659,1,0.0
0.03490658503988659,-0.017453292519943295,1,-0.0
0.03490658503988659,0.0,1,0.0
0.03490658503988659,0.017453292519943295,1,0.0
0.03490658503988659,0.03490658503988659,1,-0.0
